"year","month","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1511,4,1511.375,0,0.670194,1.590945,1.347478,1.974329,1.421655,1.300596,1.204095,1.124936,1.058546,1.001871,1.429176
1511,5,1511.45833333333,1,0.670194,1.06063,1.796638,1.579463,2.132482,1.625745,1.505119,1.40617,1.323182,1.252338,1.19098
1511,6,1511.54166666667,1,1.340387,1.06063,1.347478,1.974329,1.777069,2.276043,1.806142,1.687404,1.587819,1.502806,1.429176
1511,7,1511.625,3,2.680774,2.651575,2.245797,2.369195,2.84331,2.601192,3.010237,2.531106,2.381728,2.254209,2.143764
1511,8,1511.70833333333,1,2.680774,2.651575,2.694956,2.369195,2.487896,2.926341,2.709214,3.093574,2.646365,2.504677,2.38196
1511,9,1511.79166666667,1,1.340387,2.651575,2.694956,2.76406,2.487896,2.601192,3.010237,2.81234,3.175638,2.755144,2.620156
1511,10,1511.875,0,0.670194,1.06063,2.245797,2.369195,2.487896,2.276043,2.40819,2.81234,2.646365,3.005612,2.620156
1511,11,1511.95833333333,0,0,0.530315,0.898319,1.974329,2.132482,2.276043,2.107166,2.249872,2.646365,2.504677,2.858352
1511,12,1512.04166666667,0,0,0,0.449159,0.789732,1.777069,1.950894,2.107166,1.968638,2.117092,2.504677,2.38196
1512,1,1512.125,-1,-0.670194,-0.530315,-0.449159,0,0.355414,1.300596,1.505119,1.687404,1.587819,1.753274,2.143764
1512,2,1512.20833333333,-2,-2.010581,-1.590945,-1.347478,-1.184597,-0.710827,-0.325149,0.602047,0.843702,1.058546,1.001871,1.19098
1512,3,1512.29166666667,0,-1.340387,-1.590945,-1.347478,-1.184597,-1.066241,-0.650298,-0.301024,0.562468,0.793909,1.001871,0.952784
1512,4,1512.375,-1,-0.670194,-1.590945,-1.796638,-1.579463,-1.421655,-1.300596,-0.903071,-0.562468,0.264636,0.500935,0.714588
1512,5,1512.45833333333,1,0,0,-0.898319,-1.184597,-1.066241,-0.975447,-0.903071,-0.562468,-0.264636,0.500935,0.714588
1512,6,1512.54166666667,2,2.010581,1.06063,0.898319,0,-0.355414,-0.325149,-0.301024,-0.281234,0,0.250468,0.952784
1512,7,1512.625,-2,0,0.530315,0,0,-0.710827,-0.975447,-0.903071,-0.843702,-0.793909,-0.500935,-0.238196
1512,8,1512.70833333333,-1,-2.010581,-0.530315,0,-0.394866,-0.355414,-0.975447,-1.204095,-1.124936,-1.058546,-1.001871,-0.714588
1512,9,1512.79166666667,3,1.340387,0,0.898319,1.184597,0.710827,0.650298,0,-0.281234,-0.264636,-0.250468,-0.238196
1512,10,1512.875,-1,1.340387,0.530315,-0.449159,0.394866,0.710827,0.325149,0.301024,-0.281234,-0.529273,-0.500935,-0.476392
1512,11,1512.95833333333,0,-0.670194,1.06063,0.449159,-0.394866,0.355414,0.650298,0.301024,0.281234,-0.264636,-0.500935,-0.476392
1512,12,1513.04166666667,2,1.340387,0.530315,1.796638,1.184597,0.355414,0.975447,1.204095,0.843702,0.793909,0.250468,0
1513,1,1513.125,1,2.010581,1.590945,0.898319,1.974329,1.421655,0.650298,1.204095,1.40617,1.058546,1.001871,0.476392
1513,2,1513.20833333333,0,0.670194,1.590945,1.347478,0.789732,1.777069,1.300596,0.602047,1.124936,1.323182,1.001871,0.952784
1513,3,1513.29166666667,0,0,0.530315,1.347478,1.184597,0.710827,1.625745,1.204095,0.562468,1.058546,1.252338,0.952784
1513,4,1513.375,1,0.670194,0.530315,0.898319,1.579463,1.421655,0.975447,1.806142,1.40617,0.793909,1.252338,1.429176
1513,5,1513.45833333333,0,0.670194,0.530315,0.449159,0.789732,1.421655,1.300596,0.903071,1.687404,1.323182,0.751403,1.19098
1513,6,1513.54166666667,-1,-0.670194,0,0,0,0.355414,0.975447,0.903071,0.562468,1.323182,1.001871,0.476392
1513,7,1513.625,0,-0.670194,-0.530315,0,0,0,0.325149,0.903071,0.843702,0.529273,1.252338,0.952784
1513,8,1513.70833333333,-1,-0.670194,-1.06063,-0.898319,-0.394866,-0.355414,-0.325149,0,0.562468,0.529273,0.250468,0.952784
1513,9,1513.79166666667,-1,-1.340387,-1.06063,-1.347478,-1.184597,-0.710827,-0.650298,-0.602047,-0.281234,0.264636,0.250468,0
1513,10,1513.875,0,-0.670194,-1.06063,-0.898319,-1.184597,-1.066241,-0.650298,-0.602047,-0.562468,-0.264636,0.250468,0.238196
1513,11,1513.95833333333,-3,-2.010581,-2.12126,-2.245797,-1.974329,-2.132482,-1.950894,-1.505119,-1.40617,-1.323182,-1.001871,-0.476392
1513,12,1514.04166666667,0,-2.010581,-1.590945,-1.796638,-1.974329,-1.777069,-1.950894,-1.806142,-1.40617,-1.323182,-1.252338,-0.952784
1514,1,1514.125,-3,-2.010581,-3.18189,-2.694956,-2.76406,-2.84331,-2.601192,-2.709214,-2.531106,-2.117092,-2.003741,-1.905568
